Gemeente,Totaal misdrijven_2018,Totaal misdrijven_2019,Totaal misdrijven,Totaal misdrijven_2021,Totaal misdrijven_2022
Peel en Maas,1 099,1 243,1 379,1 274,1 426
Pekela,412,374,385,452,342
Pijnacker-Nootdorp,1 440,1 635,1 762,1 593,1 643
Purmerend,3 148,3 076,3 136,3 039,3 320
Putten,601,629,661,641,673
Raalte,664,698,793,759,788
Reimerswaal,551,538,628,613,671
Renkum,972,1 067,1 046,1 041,909
Renswoude,108,107,129,94,119
Reusel-De Mierden,323,339,356,326,337
Rheden,1 562,1 694,1 795,1 469,1 487
Rhenen,643,609,563,523,508
Ridderkerk,1 679,1 831,2 044,1 809,1 716
Rijssen-Holten,864,845,781,922,940
Rijswijk,2 881,3 208,3 498,3 254,3 401
Roerdalen,549,563,552,554,513
Roermond,3 980,4 120,3 640,3 263,3 847
De Ronde Venen,1 321,1 361,1 358,1 232,1 244
Roosendaal,3 855,4 169,4 249,4 488,4 498
Rotterdam,48 697,50 802,50 077,47 563,52 682
Rozendaal,48,48,28,45,44
Rucphen,650,715,803,878,785
Schagen,1 466,1 540,1 658,1 612,1 702
Scherpenzeel,200,214,249,244,237
Schiedam,4 713,5 137,5 275,4 412,4 629
Schiermonnikoog,46,27,34,33,34
Schouwen-Duiveland,1 106,1 036,1 061,1 081,1 166
Simpelveld,249,268,259,255,284
Sint-Michielsgestel,657,702,771,784,759
Sittard-Geleen,5 420,5 141,4 874,4 642,4 603
Sliedrecht,703,697,766,640,660
Sluis,806,747,776,809,767
Smallingerland,2 368,2 318,2 334,2 230,2 034
Soest,1 552,1 521,1 637,1 421,1 464
Someren,430,519,561,593,545
Son en Breugel,608,634,607,704,690
Stadskanaal,986,1 120,950,1 007,1 194
Staphorst,302,334,374,339,405
Stede Broec,626,716,697,713,675
Steenbergen,791,737,795,727,697
Steenwijkerland,1 250,1 379,1 425,1 305,1 350
Stein,841,830,852,798,763
Stichtse Vecht,2 745,2 866,2 404,2 180,2 195
Súdwest-Fryslân,2 985,3 088,2 950,2 765,2 810
Terneuzen,1 770,2 002,1 965,1 908,1 963
